description,_source_file,aprlGuid,automationAvailable,learnMoreLink,longDescription,pgVerified,potentialBenefits,recommendationControl,recommendationImpact,recommendationMetadataState,recommendationResourceType,recommendationTypeId,tags
Resolve issues with Private Endpoints in non Succeeded connection state,azure-resources/Network/privateEndpoints/recommendations.yaml,b89c9acc-0aba-fb44-9ff2-3dbfcf97dce7,True,"[{'name': 'Private endpoint connections', 'url': 'https://learn.microsoft.com/azure/private-link/manage-private-endpoint?tabs=manage-private-link-powershell#private-endpoint-connections'}]","A private endpoint has two custom properties, static IP address and the network interface name, which must be set at creation. If not in Succeeded state, there may be issues with the endpoint or associated resource.
",True,Ensure connection availability,HighAvailability,Medium,Active,Microsoft.Network/privateEndpoints,,[]
Use Standard SKU and Zone-Redundant IPs when applicable,azure-resources/Network/publicIPAddresses/recommendations.yaml,c63b81fb-7afc-894c-a840-91bb8a8dcfaf,True,"[{'name': 'Public IP addresses - Availability Zones', 'url': 'https://learn.microsoft.com/azure/virtual-network/ip-services/public-ip-addresses#availability-zone'}]","Public IP addresses in Azure can be of standard SKU, available as non-zonal, zonal, or zone-redundant. Zone-redundant IPs are accessible across all zones, resisting any single zone failure, thereby providing higher resilience.
",True,Enhanced resilience with zone redundancy,HighAvailability,High,Active,Microsoft.Network/publicIPAddresses,,[]
Use NAT gateway for outbound connectivity to avoid SNAT Exhaustion,azure-resources/Network/publicIPAddresses/recommendations.yaml,1adba190-5c4c-e646-8527-dd1b2a6d8b15,True,"[{'name': 'Use NAT GW for outbound connectivity', 'url': 'https://learn.microsoft.com/azure/advisor/advisor-reference-reliability-recommendations#use-nat-gateway-for-outbound-connectivity'}]","Prevent connectivity failures due to SNAT port exhaustion by employing NAT gateway for outbound traffic from virtual networks, ensuring dynamic scaling and secure internet connections.
",True,Avoids SNAT port exhaustion risks,HighAvailability,Medium,Active,Microsoft.Network/publicIPAddresses,,[]
Upgrade Basic SKU public IP addresses to Standard SKU,azure-resources/Network/publicIPAddresses/recommendations.yaml,5cea1501-6fe4-4ec4-ac8f-f72320eb18d3,True,"[{'name': 'Upgrading a basic public IP address to Standard SKU - Guidance', 'url': 'https://learn.microsoft.com/azure/virtual-network/ip-services/public-ip-basic-upgrade-guidance'}]","Basic SKU public IP addresses will be retired on September 30, 2025. Users are advised to upgrade to Standard SKU public IP addresses before this date to avoid service disruptions.
",True,Avoids service disruption,HighAvailability,Medium,Active,Microsoft.Network/publicIPAddresses,,[]
Monitor changes in Route Tables with Azure Monitor,azure-resources/Network/routeTables/recommendations.yaml,23b2dfc7-7e5d-9443-9f62-980ca621b561,True,"[{'name': 'Azure activity log - Azure Monitor | Microsoft Learn', 'url': 'https://learn.microsoft.com/azure/azure-monitor/essentials/activity-log?tabs=powershell'}]","Create Alerts with Azure Monitor for operations like Create or Update Route Table to spot unauthorized/undesired changes in production resources. This setup aids in identifying improper routing changes, including efforts to evade firewalls or access resources from outside.
",True,Enhanced security and change detection,MonitoringAndAlerting,Medium,Active,Microsoft.Network/routeTables,,[]
Traffic Manager Monitor Status Should be Online,azure-resources/Network/trafficManagerProfiles/recommendations.yaml,f05a3e6d-49db-2740-88e2-2b13706c1f67,True,"[{'name': 'Azure Traffic Manager endpoint monitoring', 'url': 'https://learn.microsoft.com/azure/traffic-manager/traffic-manager-monitoring'}]","Monitor status should be online to ensure failover for application workload. If Traffic Manager's health shows Degraded, one or more endpoints may also be Degraded.
",True,Ensures failover functionality,HighAvailability,High,Active,Microsoft.Network/trafficManagerProfiles,,[]
Traffic manager profiles should have more than one endpoint,azure-resources/Network/trafficManagerProfiles/recommendations.yaml,5b422a7f-8caa-3d48-becb-511599e5bba9,True,"[{'name': 'Traffic Manager Endpoint Types', 'url': 'https://learn.microsoft.com/azure/traffic-manager/traffic-manager-endpoint-types'}]","When configuring the Azure traffic manager, provision at least two endpoints to ensure workloads can fail-over to another instance, enhancing reliability and availability.
",True,Enhances failover capabilities,HighAvailability,Medium,Active,Microsoft.Network/trafficManagerProfiles,6cd70072-c45c-4716-bf7b-b35c18e46e72,[]
Configure at least one endpoint within a another region,azure-resources/Network/trafficManagerProfiles/recommendations.yaml,1ad9d7b7-9692-1441-a8f4-93792efbe97a,True,"[{'name': 'Reliability recommendations', 'url': 'https://learn.microsoft.com/azure/advisor/advisor-reference-reliability-recommendations#add-at-least-one-more-endpoint-to-the-profile-preferably-in-another-azure-region'}]","Profiles should have multiple endpoints to ensure availability in case an endpoint fails. It's also advised to distribute these endpoints across different regions for enhanced reliability.
",True,Enhances availability across regions,DisasterRecovery,Medium,Disabled,Microsoft.Network/trafficManagerProfiles,0db76759-6d22-4262-93f0-2f989ba2b58e,[]
Ensure endpoint configured to (All World) for geographic profiles,azure-resources/Network/trafficManagerProfiles/recommendations.yaml,c31f76a0-48cd-9f44-aa43-99ee904db9bc,True,"[{'name': 'Add an endpoint configured to ""All (World)""', 'url': 'https://learn.microsoft.com/azure/advisor/advisor-reference-reliability-recommendations#add-an-endpoint-configured-to-all-world'}]","For geographic routing, traffic is directed to endpoints based on specific regions. If a region fails, without a predefined failover, configuring an endpoint to ""All (World)"" for geographic profiles can prevent traffic black holes, ensuring service remains available.
",True,"Avoids traffic black holing, ensures availability",DisasterRecovery,High,Active,Microsoft.Network/trafficManagerProfiles,0bbe0a49-3c63-49d3-ab4a-aa24198f03f7,[]
Avoid combining Traffic Manager and Front Door,azure-resources/Network/trafficManagerProfiles/recommendations.yaml,9437634c-d69e-2747-b13e-631c13182150,True,"[{'name': 'Azure Load Balancing Options', 'url': 'https://learn.microsoft.com/azure/architecture/guide/technology-choices/load-balancing-overview'}]","For most solutions, choose either Azure Front Door for content caching, CDN, TLS termination, and WAF, or Traffic Manager for simple global load balancing.
",True,Optimized network routing and security,BusinessContinuity,High,Active,Microsoft.Network/trafficManagerProfiles,825ff735-ed9a-4335-b132-321df86b0e81,[]
Migrate from Basic to Standard Virtual WAN,azure-resources/Network/virtualHubs/recommendations.yaml,f29e56a1-6a80-4295-a663-1cce0ea2b10a,False,"[{'name': 'Upgrade a virtual WAN from Basic to Standard', 'url': 'https://learn.microsoft.com/azure/virtual-wan/upgrade-virtual-wan'}]","Basic SKU is not recommended for critical workloads. Standard SKU provides important features Inter-hub and VNet-to-VNet transiting through the virtual hub, ExpressRoute, VPN and Point-to-Site Gateways, ability to deploy Azure Firewalls and NVAs.
",False,Full Mesh communication and resiliency,ServiceUpgradeAndRetirement,High,Active,Microsoft.Network/virtualHubs,,[]
Monitor health for v-Hubs,azure-resources/Network/virtualHubs/recommendations.yaml,30ec8a5e-46de-4323-87e9-a7c56b72813b,False,"[{'name': 'Virtual WAN Monitoring Best Practices', 'url': 'https://learn.microsoft.com/azure/virtual-wan/monitoring-best-practices#virtual-hub'}]","Set up monitoring and alerts for v-Hubs. Create alert rule for ensuring promptly response to changes in BGP status and Data processed by v-Hubs.
",False,Detection and mitigation to avoid disruptions.,MonitoringAndAlerting,Medium,Active,Microsoft.Network/virtualHubs,,[]
Connect ExpressRoute gateway with circuits from diverse peering locations,azure-resources/Network/virtualNetworkGateways/recommendations.yaml,d37db635-157f-584d-9bce-4f6fc8c65ce5,True,"[{'name': 'Designing for disaster recovery with ExpressRoute private peering', 'url': 'https://learn.microsoft.com/azure/expressroute/designing-for-disaster-recovery-with-expressroute-privatepeering'}]","For improved reliability, each ExpressRoute gateway should connect to at least two circuits, with each circuit sourced from a different peering location. This setup ensures diverse connectivity paths, enhancing resilience and minimizing service disruption risks.
",True,Enhanced resilience through diverse connectivity paths,HighAvailability,High,Active,Microsoft.Network/virtualNetworkGateways,8d61a7d4-5405-4f43-81e3-8c6239b844a6,[]
Use Zone-redundant ExpressRoute gateway SKUs,azure-resources/Network/virtualNetworkGateways/recommendations.yaml,bbe668b7-eb5c-c746-8b82-70afdedf0cae,True,"[{'name': 'About ExpressRoute virtual network gateways - Zone-redundant gateway SKUs', 'url': 'https://learn.microsoft.com/azure/expressroute/expressroute-about-virtual-network-gateways#zrgw'}]","Azure ExpressRoute gateway offers variable SLAs based on deployment in single or multiple availability zones. To deploy virtual network gateways across zones automatically, use zone-redundant gateways for accessing critical, scalable services with increased resilience.
",True,Enhanced SLA and resilience,HighAvailability,High,Active,Microsoft.Network/virtualNetworkGateways,c9af1ef6-55bc-48af-bfe4-2c80490159f8,[]
Monitor health for ExpressRoute gateway,azure-resources/Network/virtualNetworkGateways/recommendations.yaml,1c34faa8-8b99-974c-adbf-71922eae943c,False,"[{'name': 'ExpressRoute monitoring, metrics, and alerts | ExpressRoute gateways', 'url': 'https://learn.microsoft.com/azure/expressroute/expressroute-monitoring-metrics-alerts#expressroute-gateways'}]","Use Network Insights for monitoring ExpressRoute Gateway's health, including availability, performance, and scalability.
",True,Enhanced monitoring and alerting,MonitoringAndAlerting,High,Active,Microsoft.Network/virtualNetworkGateways,,[]
Avoid using ExpressRoute circuits for VNet to VNet communication,azure-resources/Network/virtualNetworkGateways/recommendations.yaml,194c14ac-0d7a-5a48-ae32-75fa450ee564,False,"[{'name': 'About ExpressRoute virtual network gateways - VNet-to-VNet connectivity', 'url': 'https://learn.microsoft.com/azure/expressroute/expressroute-about-virtual-network-gateways#vnet-to-vnet-connectivity'}]","While multiple VNets can connect via the same ExpressRoute gateway, Microsoft recommends using alternatives like VNet peering, Azure Firewall, NVA, Azure Route Server, site-to-site VPN, virtual WAN, or SD-WAN for VNet-to-VNet communication to optimize network performance and management.
",True,Enhanced VNet integration efficiency,HighAvailability,Medium,Active,Microsoft.Network/virtualNetworkGateways,,[]
Configure customer-controlled ExpressRoute gateway maintenance,azure-resources/Network/virtualNetworkGateways/recommendations.yaml,3e115044-a3aa-433e-be01-ce17d67e50da,True,"[{'name': 'Configure customer-controlled maintenance for your virtual network gateway - ExpressRoute | Microsoft Learn', 'url': 'https://learn.microsoft.com/azure/expressroute/customer-controlled-gateway-maintenance#azure-portal-steps'}]","ExpressRoute gateways are updated for improved functionality, reliability, performance, and security. Customer-controlled maintenance configuration and scheduling minimize update impact and align with your maintenance windows.
",True,Minimizes update impact,HighAvailability,Medium,Active,Microsoft.Network/virtualNetworkGateways,b4af9e04-3570-41f1-b4cf-b7af07224799,[]
Configure customer-controlled VPN gateway maintenance,azure-resources/Network/virtualNetworkGateways/recommendations.yaml,f8c2e6d9-4b3a-45d6-b9e2-8e7f3a1c2d04,True,"[{'name': 'Configure customer-controlled gateway maintenance for VPN Gateway', 'url': 'https://learn.microsoft.com/azure/vpn-gateway/customer-controlled-gateway-maintenance'}]","VPN gateways are updated for improved functionality, reliability, performance, and security. Customer-controlled maintenance configuration and scheduling minimize update impact and align with your maintenance windows.
",False,Minimizes update impact,HighAvailability,Medium,Active,Microsoft.Network/virtualNetworkGateways,,[]
